,artist_name,track_name,track_id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
576626,Diego & Victor Hugo,Meio Fio - Ao Vivo,1t5dhHyXMwdbAcI3EQRqFV,71,sertanejo,0.495,0.851,2,-5.124,1,0.23,0.277,0.0,0.65,0.639,164.346,4
515648,Adele,Can I Get It,6w8ZPYdnGajyfPddTWdthN,71,pop,0.703,0.68,9,-6.118,0,0.0431,0.0171,0.0,0.178,0.536,97.985,4
794774,mor ve ötesi,Bir Derdim Var,5UV2oqgMXvlkOvvtK3aT7f,71,alt-rock,0.586,0.89,11,-1.988,0,0.0369,0.012,0.00508,0.114,0.426,119.062,4
224466,Beyoncé,Formation,6g0Orsxv6glTJCt4cHsRsQ,71,dance,0.896,0.621,5,-6.857,0,0.237,0.00532,0.0,0.196,0.818,121.966,4
466599,Junior H,1004 Kilómetros,0pt0wjZNeFOMIeCudmXRrl,71,sad,0.651,0.567,11,-6.477,0,0.0301,0.671,0.000373,0.126,0.521,96.845,4
321025,Cardi B,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,71,dance,0.926,0.703,11,-6.337,0,0.103,0.0659,0.0,0.231,0.485,125.022,4
223575,Jon Pardi,Dirt On My Boots,7f08qp3HROTkfrtNpiYGGo,71,country,0.683,0.796,11,-4.179,1,0.0285,0.111,0.0,0.197,0.531,90.031,4
515888,Coldplay,Higher Power,0939D7aT18uBDS2MTjWzct,71,pop,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,4
197603,Maná,Mi Verdad (feat. Shakira),3YmA3gZqlXl0MkwhkVKxRy,71,pop,0.857,0.561,9,-7.288,1,0.0292,0.435,0.0,0.0831,0.76,99.989,4
328653,XXXTENTACION,infinity (888) - feat. Joey Bada$$,7J2gyNghNTzl4EsLhXp01Q,71,emo,0.562,0.579,10,-6.788,0,0.484,0.274,0.0,0.102,0.577,84.143,4
456859,K/DA,VILLAIN,3QSjVPObHxuAJc3E5nrjRn,71,k-pop,0.653,0.634,5,-5.875,0,0.0391,0.0232,0.0,0.0908,0.306,160.013,4
340926,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,71,hip-hop,0.872,0.591,6,-6.952,0,0.359,0.111,0.0,0.144,0.696,131.982,4
588384,Victoria Monét,We Might Even Be Falling In Love (Duet) - Spotify Singles,0wOtc2nY3NOohp4xSwOyTN,71,chill,0.731,0.423,6,-10.147,1,0.0784,0.473,0.000413,0.129,0.78,76.964,4
588386,CORBAL,Hesitation,5sqNqbyVJ8RF2E1qeX4sw9,71,chill,0.717,0.165,3,-21.81,0,0.0726,0.938,0.012,0.13,0.535,80.275,4
1029216,Iyaz,Replay,5vlEg2fT4cFWAqU5QptIpQ,71,dance,0.706,0.751,9,-6.323,1,0.0708,0.173,0.0,0.168,0.195,91.031,4
188853,Tyga,Ice Cream Man,6ZA3Q8Dj5BrnmOsT300DCh,71,hip-hop,0.902,0.67,10,-4.074,1,0.19,0.167,0.0,0.107,0.39,144.07,4
456869,IU,eight(Prod.&Feat. SUGA of BTS),0pYacDCZuRhcrwGUA5nTBe,71,k-pop,0.676,0.869,1,-1.573,1,0.0423,0.115,0.0,0.132,0.594,120.029,4
456864,Hwa Sa,Maria,0ZeGfEAL5Rl4pd5LZBGuEK,71,k-pop,0.658,0.749,9,-2.967,0,0.0634,0.238,2.03e-06,0.272,0.442,128.909,4
456863,BTS,ON,0fZRNhPJ4AGmwY7rkpdbqK,71,k-pop,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,4
456858,BLACKPINK,Pretty Savage,1XnpzbOGptRwfJhZgLbmSr,71,k-pop,0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,4
328655,XXXTENTACION,BAD!,22An65gG31JLf9n18qjdhZ,71,emo,0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,4
456857,BLACKPINK,Lovesick Girls,4Ws314Ylb27BVsvlZOy30C,71,k-pop,0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97,4
564208,Jessi,ZOOM,4IaxDf2FixiQXq0mW7key9,71,k-pop,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,4
531982,The 1975,Oh Caroline,14dJexYlvd3t3XAtD1pYW1,71,alt-rock,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,4
188827,NF,Paralyzed,5DHQKZCOZhGNTbYBCekWx0,71,hip-hop,0.51,0.643,0,-6.602,1,0.0485,0.214,3.22e-06,0.101,0.0397,130.081,4
532019,Rammstein,Dicke Titten,5KTBaWu8IOczQ0sPWzZ7MY,71,alt-rock,0.63,0.823,6,-4.857,1,0.0496,0.0205,0.00458,0.0377,0.565,117.048,4
564194,ENHYPEN,Future Perfect (Pass the MIC),6PRy17C5LiiN7VCLS6IA98,71,k-pop,0.658,0.9,9,-3.479,0,0.264,0.0364,0.0,0.0771,0.526,156.096,4
188811,A$AP Rocky,L$D,4S7YHmlWwfwArgd8LfSPud,71,hip-hop,0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
564193,aespa,Girls,2WTHLEVjfefbGoW7F3dXIg,71,k-pop,0.57,0.974,3,-0.173,0,0.325,0.115,0.000594,0.125,0.65,171.958,4
340924,Ski Mask The Slump God,Take A Step Back,2gQYziDV5cSTRSqr6akzi5,71,hip-hop,0.8,0.591,6,-8.808,1,0.271,0.111,0.0,0.429,0.747,117.003,4
1027499,Jon Lajoie,Everyday Normal Guy 2,2hhFpD32iXUd4GaCu6T4wn,71,comedy,0.823,0.731,3,-4.273,1,0.307,0.42,0.0,0.306,0.876,90.302,4
340916,Future,Fine China,5274I4mUMnYczyeXkGDWZN,71,hip-hop,0.656,0.542,7,-7.358,1,0.323,0.0484,0.0,0.126,0.551,166.111,4
